id_pedido,id_cliente,data_pedido,produto,categoria,quantidade,preco_unitario,metodo_pagamento,custo_envio,status_pedido,tempo_entrega_dias
97,66,2023-12-05,Guitarra,Acessórios,9,216.3,Boleto,35.59,Entregue,7
98,28,2023-10-21,Guitarra,Acessórios,6,632.9,Dinheiro,39.33,Enviado,7
99,63,2022-03-02,Mochila,Eletrônicos,5,968.95,Dinheiro,41.32,Entregue,5
100,19,2022-03-29,Tablet,Eletrônicos,3,209.86,Boleto,23.02,Cancelado,9
101,85,2023-12-15,Camiseta,Lazer,10,327.69,Pix,5.05,Cancelado,10
102,80,2023-10-25,Smartphone,Lazer,6,551.38,Dinheiro,12.65,Processando,10
103,20,2023-03-17,Vestido,Acessórios,4,405.54,Dinheiro,25.79,Entregue,5
104,28,2023-11-22,Bicicleta,Vestuário,8,291.17,Cartão de Débito,22.59,Enviado,12
105,92,2023-12-28,Óculos de Sol,Lazer,4,419.32,Dinheiro,48.69,Enviado,12
106,81,2022-03-14,Jogo de Vídeo,Lazer,2,994.19,Pix,44.42,Processando,9
107,15,2022-09-27,Sapatos,Eletrônicos,10,69.25,Cartão de Débito,30.74,Processando,8
108,15,2022-05-31,Bicicleta,Eletrônicos,9,357.74,Dinheiro,18.9,Entregue,12
109,4,2022-04-27,Monitor de Atividade,Acessórios,3,547.16,Dinheiro,48.62,Cancelado,12
110,10,2023-06-07,Camiseta,Eletrônicos,5,929.96,Cartão de Débito,29.32,Entregue,5
111,70,2023-09-08,Vestido,Acessórios,2,689.46,Boleto,34.46,Entregue,9
112,92,2023-06-22,Chapéu,Acessórios,3,636.51,Cartão de Crédito,10.96,Processando,2
113,47,2023-04-30,Mochila,Vestuário,5,478.65,Cartão de Crédito,40.21,Processando,7
114,21,2022-04-12,Câmera,Vestuário,4,528.14,Cartão de Débito,25.37,Enviado,9
115,72,2022-10-24,Camiseta,Acessórios,5,565.51,Cartão de Crédito,36.35,Processando,5
116,40,2022-02-01,Óculos de Sol,Acessórios,10,117.0,Boleto,7.18,Enviado,10
117,49,2023-05-17,Óculos de Sol,Vestuário,4,211.9,Cartão de Crédito,22.43,Entregue,13
118,68,2023-03-04,Jogo de Tabuleiro,Livros,5,637.29,Dinheiro,8.35,Processando,8
119,60,2022-05-28,Mochila,Vestuário,2,979.04,Cartão de Crédito,10.01,Entregue,6
120,88,2023-11-02,Relógio,Vestuário,10,553.17,Cartão de Débito,13.58,Entregue,9
121,31,2022-12-08,Fones de Ouvido,Livros,9,57.29,Boleto,49.3,Entregue,2
122,84,2023-07-31,Jogo de Tabuleiro,Livros,8,916.72,Cartão de Crédito,35.68,Enviado,14
123,100,2022-10-24,Monitor de Atividade,Acessórios,4,773.48,Cartão de Débito,9.44,Processando,4
124,6,2022-10-22,Jogo de Tabuleiro,Vestuário,10,625.83,Cartão de Crédito,34.81,Cancelado,3
125,31,2023-12-29,Smartphone,Acessórios,7,667.61,Dinheiro,27.8,Processando,7
126,34,2023-03-02,Jogo de Tabuleiro,Livros,6,792.32,Cartão de Crédito,31.51,Cancelado,11
127,89,2022-01-14,Chapéu,Acessórios,9,521.33,Pix,29.67,Processando,12
128,26,2022-11-04,Fones de Ouvido,Acessórios,2,270.49,Boleto,25.22,Cancelado,8
129,7,2022-10-15,Camiseta,Lazer,3,807.18,Cartão de Crédito,27.84,Processando,7
130,6,2023-11-03,Relógio Inteligente,Livros,7,579.43,Pix,44.52,Entregue,7
131,35,2022-07-25,Monitor de Atividade,Lazer,10,889.75,Cartão de Débito,9.18,Processando,12
132,77,2023-05-05,Jogo de Vídeo,Lazer,8,336.04,Pix,39.91,Enviado,7
133,70,2022-11-19,Mochila,Livros,6,19.02,Pix,17.65,Enviado,11
134,7,2023-05-01,Relógio Inteligente,Lazer,6,957.13,Dinheiro,49.94,Entregue,14
135,12,2023-01-22,Livro,Acessórios,9,339.94,Cartão de Crédito,7.13,Entregue,13
136,17,2023-01-21,Chapéu,Eletrônicos,4,682.01,Pix,36.1,Entregue,12
137,46,2023-10-17,Livro,Livros,9,116.55,Cartão de Crédito,42.17,Entregue,14
138,91,2022-12-21,Monitor de Atividade,Vestuário,8,750.0,Dinheiro,36.43,Enviado,14
139,66,2022-05-31,Chapéu,Lazer,10,416.15,Cartão de Crédito,42.62,Entregue,9
140,5,2023-09-21,Fones de Ouvido,Lazer,4,175.69,Pix,40.18,Processando,3
141,39,2022-04-08,Relógio Inteligente,Eletrônicos,4,440.27,Boleto,30.39,Enviado,13
142,45,2022-09-10,Sapatos,Lazer,8,698.05,Pix,46.22,Entregue,5
143,21,2023-04-15,Fones de Ouvido,Acessórios,9,806.16,Cartão de Débito,5.97,Cancelado,2
144,35,2022-12-28,Relógio Inteligente,Lazer,1,262.47,Dinheiro,40.7,Cancelado,7
145,38,2023-04-20,Sapatos,Eletrônicos,2,38.29,Pix,39.3,Processando,5
146,56,2022-02-21,Camiseta,Lazer,3,598.46,Dinheiro,19.41,Enviado,3
147,100,2022-03-27,Smartphone,Livros,4,166.94,Boleto,25.81,Cancelado,1
148,81,2023-12-02,Câmera,Livros,4,28.03,Pix,10.71,Enviado,4
149,63,2024-01-05,Tablet,Livros,8,906.34,Cartão de Crédito,10.2,Enviado,11
150,97,2024-01-13,Jogo de Vídeo,Acessórios,8,211.98,Boleto,48.94,Cancelado,8
151,24,2023-08-11,Câmera,Acessórios,4,251.4,Pix,14.78,Processando,9
152,94,2023-03-30,Relógio,Lazer,4,317.12,Boleto,39.82,Processando,12
153,47,2022-09-24,Sapatos,Acessórios,9,270.97,Pix,49.15,Enviado,11
154,27,2023-08-29,Sapatos,Lazer,4,392.82,Dinheiro,34.34,Processando,7
155,18,2022-09-20,Vestido,Eletrônicos,10,136.01,Dinheiro,26.0,Enviado,12
156,99,2023-06-19,Jogo de Tabuleiro,Eletrônicos,7,863.8,Pix,6.8,Cancelado,12
157,74,2022-10-05,Câmera,Acessórios,10,748.09,Dinheiro,31.69,Entregue,10
158,84,2023-07-18,Bicicleta,Eletrônicos,10,952.48,Cartão de Débito,24.07,Entregue,8
159,80,2022-04-14,Chapéu,Eletrônicos,7,447.94,Boleto,23.51,Processando,10
160,24,2022-10-28,Relógio,Vestuário,9,672.6,Pix,39.66,Cancelado,5
161,2,2023-04-19,Monitor de Atividade,Acessórios,9,617.43,Dinheiro,21.42,Enviado,11
162,92,2023-08-19,Laptop,Lazer,5,505.33,Dinheiro,35.71,Processando,10
163,46,2022-06-26,Jogo de Vídeo,Livros,3,516.98,Dinheiro,45.37,Cancelado,11
164,31,2022-07-01,Smartphone,Eletrônicos,10,853.91,Cartão de Débito,34.49,Enviado,7
165,23,2022-09-13,Relógio,Lazer,3,632.45,Cartão de Débito,10.69,Enviado,5
166,84,2022-07-17,Bicicleta,Acessórios,5,749.09,Dinheiro,24.13,Cancelado,13
167,89,2024-01-02,Sapatos,Livros,1,466.45,Dinheiro,22.54,Cancelado,8
168,68,2022-07-04,Smartphone,Acessórios,4,640.47,Cartão de Crédito,28.85,Enviado,4
169,46,2023-12-26,Camiseta,Vestuário,8,34.12,Pix,47.32,Enviado,4
170,22,2023-08-01,Relógio,Livros,5,937.25,Cartão de Crédito,27.93,Enviado,10
171,34,2022-10-23,Bicicleta,Livros,8,597.18,Cartão de Débito,6.24,Enviado,5
172,50,2023-06-08,Jogo de Tabuleiro,Lazer,1,148.44,Cartão de Débito,28.58,Cancelado,5
173,9,2022-01-30,Camiseta,Vestuário,7,406.65,Boleto,47.11,Entregue,1
174,28,2022-06-29,Monitor de Atividade,Vestuário,7,588.2,Cartão de Crédito,46.51,Processando,8
175,34,2022-02-03,Chapéu,Livros,5,821.3,Dinheiro,29.66,Entregue,14
176,34,2022-01-15,Laptop,Eletrônicos,5,108.01,Pix,41.75,Enviado,5
177,23,2023-09-24,Jogo de Vídeo,Livros,2,895.47,Pix,48.02,Enviado,11
178,21,2023-12-09,Mochila,Eletrônicos,6,746.49,Pix,15.23,Processando,7
179,16,2023-06-06,Tablet,Vestuário,8,392.97,Cartão de Crédito,11.85,Entregue,9
180,20,2023-08-16,Fones de Ouvido,Lazer,3,194.72,Dinheiro,41.29,Processando,13
181,29,2023-04-29,Vestido,Livros,1,694.55,Dinheiro,40.63,Entregue,8
182,43,2022-11-10,Bicicleta,Lazer,8,125.75,Cartão de Crédito,25.08,Entregue,11
183,56,2022-05-03,Livro,Acessórios,1,538.23,Cartão de Crédito,13.97,Enviado,14
184,98,2022-02-10,Óculos de Sol,Lazer,3,846.31,Pix,11.96,Cancelado,1
185,19,2022-03-07,Camiseta,Livros,5,179.99,Pix,41.91,Entregue,12
186,14,2022-12-16,Mochila,Livros,6,994.01,Cartão de Crédito,32.95,Processando,1
187,4,2023-05-17,Calça Jeans,Acessórios,9,734.53,Cartão de Crédito,35.61,Processando,11
188,74,2022-04-09,Relógio Inteligente,Lazer,3,795.44,Cartão de Débito,27.97,Cancelado,12
189,86,2022-01-28,Calça Jeans,Acessórios,8,857.19,Cartão de Crédito,5.52,Enviado,8
190,17,2022-10-20,Mochila,Livros,2,42.05,Pix,15.39,Enviado,14
191,85,2022-10-02,Monitor de Atividade,Vestuário,7,433.82,Cartão de Crédito,30.38,Cancelado,11
192,99,2023-12-17,Smartphone,Eletrônicos,8,286.21,Cartão de Débito,17.82,Processando,7
193,16,2022-02-27,Camiseta,Acessórios,5,250.64,Pix,28.63,Entregue,11
194,12,2022-01-24,Tablet,Lazer,10,624.16,Pix,47.95,Cancelado,4
195,18,2022-11-29,Calça Jeans,Eletrônicos,4,144.41,Dinheiro,38.64,Enviado,3
196,64,2023-11-25,Relógio Inteligente,Vestuário,4,373.33,Boleto,20.66,Processando,1
197,79,2023-10-15,Mochila,Lazer,9,312.71,Cartão de Crédito,46.15,Processando,9
198,31,2022-03-06,Chapéu,Lazer,7,238.37,Dinheiro,22.94,Enviado,5
199,82,2022-06-16,Óculos de Sol,Eletrônicos,9,893.84,Cartão de Débito,39.03,Processando,10
200,45,2022-10-30,Tablet,Lazer,7,566.53,Pix,13.24,Cancelado,12
201,59,2023-06-05,Calça Jeans,Acessórios,10,343.73,Pix,48.66,Enviado,14
202,12,2022-11-29,Relógio Inteligente,Vestuário,7,561.9,Pix,8.08,Entregue,3
203,63,2022-11-03,Camiseta,Eletrônicos,8,97.0,Boleto,20.48,Cancelado,10
204,1,2023-11-05,Vestido,Acessórios,10,850.45,Boleto,34.96,Enviado,9
205,33,2023-09-17,Mochila,Lazer,4,431.73,Cartão de Crédito,43.5,Enviado,6
206,46,2022-04-20,Fones de Ouvido,Livros,9,70.19,Cartão de Crédito,24.33,Processando,9
207,84,2023-08-15,Relógio Inteligente,Acessórios,4,69.17,Dinheiro,25.33,Cancelado,3
208,63,2023-11-04,Livro,Livros,1,650.4,Dinheiro,25.04,Enviado,5
209,66,2022-04-03,Relógio Inteligente,Lazer,10,807.73,Cartão de Crédito,30.06,Enviado,3
210,31,2022-02-11,Relógio,Vestuário,9,350.78,Pix,36.16,Processando,6
211,87,2022-02-23,Câmera,Lazer,10,965.28,Cartão de Débito,28.74,Cancelado,3
212,93,2022-04-09,Guitarra,Acessórios,3,885.26,Boleto,49.84,Cancelado,3
213,13,2022-09-13,Fones de Ouvido,Acessórios,9,883.51,Cartão de Débito,12.12,Processando,14
214,23,2022-05-10,Chapéu,Eletrônicos,7,157.41,Cartão de Crédito,47.03,Enviado,8
215,82,2022-02-12,Chapéu,Lazer,7,824.44,Cartão de Débito,49.47,Enviado,12
216,19,2022-05-24,Camiseta,Vestuário,4,472.76,Cartão de Crédito,15.15,Processando,8
217,30,2023-06-12,Smartphone,Livros,5,184.97,Dinheiro,43.41,Processando,2
218,62,2023-06-05,Camiseta,Livros,2,204.21,Cartão de Débito,30.82,Cancelado,7
219,33,2022-03-03,Calça Jeans,Livros,5,301.02,Cartão de Crédito,10.5,Enviado,14
220,80,2022-05-29,Livro,Eletrônicos,7,524.2,Pix,38.98,Enviado,9
221,64,2022-02-21,Camiseta,Eletrônicos,9,113.7,Boleto,35.02,Entregue,7
222,25,2023-10-17,Guitarra,Lazer,6,714.28,Dinheiro,24.0,Enviado,2
223,64,2023-02-05,Calça Jeans,Vestuário,7,65.23,Pix,20.22,Processando,13
224,46,2022-03-29,Calça Jeans,Acessórios,5,903.24,Cartão de Débito,30.5,Entregue,14
225,89,2023-02-12,Tablet,Eletrônicos,5,133.96,Cartão de Crédito,36.3,Cancelado,12
226,77,2022-12-11,Chapéu,Livros,5,39.03,Cartão de Débito,27.83,Processando,10
227,2,2022-09-26,Smartphone,Acessórios,6,747.86,Dinheiro,43.05,Entregue,7
228,53,2023-06-20,Relógio,Vestuário,9,593.48,Cartão de Débito,28.41,Enviado,8
229,79,2022-05-05,Mochila,Eletrônicos,7,230.28,Cartão de Crédito,44.15,Processando,12
230,24,2023-07-29,Jogo de Vídeo,Lazer,8,249.27,Cartão de Crédito,25.3,Cancelado,5
231,34,2023-12-16,Mochila,Livros,1,951.4,Dinheiro,27.41,Enviado,6
232,96,2022-12-26,Calça Jeans,Acessórios,8,365.42,Cartão de Crédito,39.23,Cancelado,3
233,80,2023-10-18,Calça Jeans,Livros,4,46.3,Cartão de Débito,42.01,Processando,13
234,61,2022-06-04,Monitor de Atividade,Eletrônicos,9,523.06,Dinheiro,26.0,Enviado,1
235,69,2022-12-02,Smartphone,Vestuário,6,544.53,Cartão de Crédito,9.9,Entregue,4
236,8,2022-02-02,Monitor de Atividade,Eletrônicos,1,253.47,Cartão de Débito,36.57,Entregue,9
237,16,2023-12-26,Smartphone,Livros,5,333.07,Dinheiro,39.15,Entregue,14
238,72,2023-03-23,Câmera,Eletrônicos,6,229.88,Pix,44.06,Processando,14
239,72,2022-04-27,Monitor de Atividade,Eletrônicos,8,166.44,Boleto,35.51,Cancelado,4
240,17,2023-04-06,Monitor de Atividade,Vestuário,6,638.85,Pix,42.15,Entregue,14
241,73,2022-06-22,Camiseta,Lazer,7,270.66,Pix,39.66,Enviado,4
242,11,2022-05-06,Vestido,Eletrônicos,3,508.76,Boleto,37.49,Entregue,8
243,79,2024-01-09,Smartphone,Lazer,9,38.09,Cartão de Débito,17.93,Enviado,4
244,62,2023-12-31,Livro,Livros,6,121.35,Cartão de Débito,29.99,Cancelado,7
245,89,2023-05-29,Óculos de Sol,Livros,6,412.2,Dinheiro,6.34,Cancelado,10
246,16,2022-06-09,Monitor de Atividade,Livros,6,773.01,Boleto,22.97,Processando,6
247,75,2022-10-31,Vestido,Livros,2,54.95,Dinheiro,43.67,Cancelado,10
248,30,2023-06-06,Fones de Ouvido,Eletrônicos,6,376.33,Boleto,27.67,Entregue,1
249,29,2023-11-15,Monitor de Atividade,Livros,7,11.34,Cartão de Débito,18.91,Cancelado,8
250,8,2022-02-02,Laptop,Lazer,3,300.53,Boleto,41.72,Entregue,13
251,16,2022-03-22,Mochila,Vestuário,5,844.62,Cartão de Crédito,15.41,Entregue,13
252,43,2022-04-28,Tablet,Vestuário,7,182.43,Cartão de Crédito,19.26,Processando,4
253,35,2022-09-15,Smartphone,Vestuário,1,665.59,Cartão de Débito,31.54,Enviado,8
254,44,2023-05-04,Câmera,Lazer,8,501.05,Dinheiro,6.97,Entregue,6
255,47,2023-06-26,Monitor de Atividade,Acessórios,2,95.83,Cartão de Débito,9.42,Processando,12
256,38,2022-10-02,Camiseta,Lazer,2,917.77,Cartão de Crédito,22.36,Entregue,5
257,83,2023-11-24,Livro,Livros,8,207.62,Cartão de Crédito,37.07,Cancelado,14
258,12,2022-10-26,Guitarra,Lazer,3,822.07,Pix,45.67,Processando,13
259,86,2022-10-17,Smartphone,Acessórios,7,95.68,Pix,20.62,Processando,5
260,22,2023-03-31,Bicicleta,Lazer,3,785.64,Boleto,45.13,Enviado,6
261,34,2022-03-04,Jogo de Tabuleiro,Lazer,7,856.45,Cartão de Débito,27.18,Processando,9
262,63,2022-06-10,Relógio,Vestuário,3,324.71,Cartão de Débito,24.57,Processando,4
263,93,2022-12-16,Guitarra,Livros,2,442.06,Dinheiro,30.39,Enviado,11
264,75,2023-01-09,Câmera,Lazer,9,660.16,Pix,45.78,Processando,7
265,77,2023-09-20,Chapéu,Eletrônicos,7,568.82,Cartão de Débito,23.08,Enviado,13
266,74,2023-08-21,Jogo de Vídeo,Vestuário,1,238.22,Boleto,22.57,Cancelado,14
267,39,2023-11-01,Calça Jeans,Lazer,5,745.64,Boleto,31.2,Enviado,2
268,7,2022-07-03,Laptop,Acessórios,8,544.68,Cartão de Débito,29.22,Entregue,2
269,20,2022-12-14,Bicicleta,Vestuário,8,611.66,Cartão de Débito,17.89,Entregue,4
270,25,2022-08-04,Jogo de Vídeo,Acessórios,9,169.25,Dinheiro,31.41,Entregue,4
271,82,2023-10-21,Mochila,Eletrônicos,2,227.83,Cartão de Crédito,30.32,Cancelado,13
272,46,2023-09-04,Calça Jeans,Eletrônicos,7,454.02,Pix,13.8,Cancelado,14
273,99,2023-08-01,Câmera,Eletrônicos,5,46.39,Boleto,9.31,Cancelado,14
274,37,2022-07-05,Relógio Inteligente,Lazer,7,383.65,Pix,38.67,Cancelado,1
275,29,2023-09-25,Jogo de Vídeo,Livros,1,831.93,Cartão de Crédito,24.19,Cancelado,1
276,24,2022-10-21,Jogo de Vídeo,Eletrônicos,4,437.76,Dinheiro,21.41,Cancelado,8
277,25,2022-08-03,Mochila,Vestuário,4,212.02,Boleto,19.51,Processando,11
278,44,2024-01-07,Guitarra,Vestuário,10,882.58,Cartão de Crédito,33.23,Cancelado,5
279,97,2022-10-29,Smartphone,Lazer,5,216.52,Boleto,13.0,Cancelado,8
280,65,2022-09-14,Sapatos,Eletrônicos,2,690.64,Cartão de Crédito,5.72,Cancelado,10
281,97,2023-01-04,Camiseta,Vestuário,9,91.37,Dinheiro,48.44,Processando,14
282,50,2023-11-24,Camiseta,Eletrônicos,5,570.6,Cartão de Débito,49.61,Processando,11
283,30,2023-05-18,Jogo de Vídeo,Vestuário,7,982.63,Boleto,36.56,Processando,2
284,65,2022-11-07,Monitor de Atividade,Eletrônicos,7,12.58,Pix,20.34,Enviado,4
285,46,2022-04-09,Câmera,Eletrônicos,7,705.83,Pix,44.44,Entregue,14
286,58,2022-10-01,Mochila,Eletrônicos,3,848.78,Dinheiro,19.95,Processando,14
287,78,2022-02-21,Relógio,Eletrônicos,2,227.1,Boleto,34.87,Processando,12
288,16,2022-04-08,Calça Jeans,Acessórios,8,754.18,Dinheiro,26.28,Cancelado,7
